VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90085,13,480.87,190.88,0.917979143579689
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90609,83,2074.17,5440.0,26.16202085642031
60,ADAMBA IMPORTS INTL INC    ,771,137,2053.63,446.16,2.1358888788300154
60,ADAMBA IMPORTS INTL INC    ,3979,79412,1351615.88,76257.49,365.0652788651854
105,ALTAMAR BRANDS LLC         ,2529,24,719.76,279.0,1.4869735695614292
105,ALTAMAR BRANDS LLC         ,8412,1346,67286.54000000001,11427.199999999999,60.90302643043857
200,AMERICAN SPIRITS EXCHANGE  ,19715,38,417.62,271.08,1.3923339639549932
200,AMERICAN SPIRITS EXCHANGE  ,20789,138,2482.62,934.08,4.797666036045006
287,APPOLO VINEYARDS LLC       ,24921,33,490.17,1248.0,6.386398299787474
287,APPOLO VINEYARDS LLC       ,24922,40,588.1,1151.7,5.893601700212527
388,ATLANTIC IMPORTING COMPANY ,2034,13214,380389.86,37885.64,195.1027089389323
388,ATLANTIC IMPORTING COMPANY ,2119,99,8509.01,2589.6000000000004,13.335870136237876
388,ATLANTIC IMPORTING COMPANY ,7241,67,2104.33,641.08,3.301420924829849
480,BACARDI USA INC            ,126,4245559,127364867.41,1205942.92,6109.38671202751
480,BACARDI USA INC            ,128,4,129.96,97.68,0.49485335013273035
480,BACARDI USA INC            ,129,10,319.9,99.96,0.5064039811554845
480,BACARDI USA INC            ,201,46,896.54,525.98,2.664649519889573
480,BACARDI USA INC            ,278,690,19973.1,1756.8,8.900065167006353
480,BACARDI USA INC            ,443,250956,8917994.44,189438.59999999998,959.7084956434709
480,BACARDI USA INC            ,508,1987979,27127924.71,380609.88999999996,1928.1949135969485
480,BACARDI USA INC            ,540,2191,2169.09,253.44,1.2839438273714083
480,BACARDI USA INC            ,565,521,10753.789999999999,2684.96,13.602185206514902
480,BACARDI USA INC            ,743,40975,2048340.25,121654.5,616.3097551568616
480,BACARDI USA INC            ,802,45712,527380.88,40341.51,204.37276180295908
480,BACARDI USA INC            ,803,4130,54151.2,12896.0,65.33199020589363
480,BACARDI USA INC            ,804,1151,16983.99,3433.32,17.393426536422048
480,BACARDI USA INC            ,805,18,593.82,263.9,1.336934880221412
480,BACARDI USA INC            ,810,13637,163809.63,16414.77,83.15831210235706
480,BACARDI USA INC            ,824,111316,3004418.84,140898.12,713.7992087367265
480,BACARDI USA INC            ,903,236430,6279362.7,179143.86,907.5546608999674
480,BACARDI USA INC            ,973,21,314.79,249.90000000000003,1.2660099528887112
480,BACARDI USA INC            ,974,64,963.86,725.1099999999999,3.6734552898724817
480,BACARDI USA INC            ,1020,2,49.98,36.22,0.18349291914217333
480,BACARDI USA INC            ,1047,6,275.94,212.28000000000003,1.0754245410132677
480,BACARDI USA INC            ,1106,35,8709.65,8399.7,42.55343657974913
480,BACARDI USA INC            ,1330,19640,994571.6,91962.81000000001,465.8896868972129
480,BACARDI USA INC            ,1414,6,149.94,71.39999999999999,0.36171712939677453
480,BACARDI USA INC            ,1757,11,1759.89,1634.92,8.282613013912812
480,BACARDI USA INC            ,2123,996,79670.04,17098.2,86.62061375142763
480,BACARDI USA INC            ,2184,1119,16797.81,3294.3999999999996,16.68964861463213
480,BACARDI USA INC            ,2200,1099,16541.01,2899.8199999999997,14.690680198422337
480,BACARDI USA INC            ,2258,62562,862436.38,52035.02,263.61285801825983
480,BACARDI USA INC            ,2329,3506,170869.94,29183.550000000003,147.845797361446
480,BACARDI USA INC            ,2502,8,279.92,80.76,0.4091355093849232
480,BACARDI USA INC            ,2611,1195,55256.05,18875.28,95.62341874174162
480,BACARDI USA INC            ,2614,827,46309.73,13187.199999999999,66.80722869441381
480,BACARDI USA INC            ,2622,13315,345401.85,30455.449999999997,154.28932700962181
480,BACARDI USA INC            ,2624,4565,303309.35,34976.48,177.19316445383333
480,BACARDI USA INC            ,2628,20765,661013.35,88565.4,448.6781827993991
480,BACARDI USA INC            ,2663,5622620,175626453.8,1478001.4200000002,7487.653093652054
480,BACARDI USA INC            ,2665,569594,11949964.059999999,285668.12,1447.2136180192344
480,BACARDI USA INC            ,2668,35042,471599.58,61815.84,313.1631400007047
480,BACARDI USA INC            ,2672,167517,383613.93,41686.200000000004,211.1850504126026
480,BACARDI USA INC            ,2679,1030,20501.7,3227.2799999999997,16.34961424873421
480,BACARDI USA INC            ,2742,7598,371698.02,39081.42,197.98906239705457
480,BACARDI USA INC            ,2863,607,28478.93,6284.22,31.83627477447898
480,BACARDI USA INC            ,2916,340,22486.6,5269.599999999999,26.696142648028616
480,BACARDI USA INC            ,2933,861,43615.39,7581.600000000001,38.40888779040037
480,BACARDI USA INC            ,3016,40193,839357.07,71140.84,360.40420767052154
480,BACARDI USA INC            ,3139,18752,459326.98,39002.04,197.58691805907816
480,BACARDI USA INC            ,3185,142,6672.58,1165.8899999999999,5.906475966280189
480,BACARDI USA INC            ,3194,48008,1175932.92,64030.06999999999,324.38057584698225
480,BACARDI USA INC            ,3199,276,12969.24,2366.7,11.989858965593086
480,BACARDI USA INC            ,3343,110052,1429575.48,70685.12000000001,358.09549996451744
480,BACARDI USA INC            ,3344,786314,16503442.86,344833.02,1746.9469203868427
480,BACARDI USA INC            ,3345,158180,314778.2,31395.98,159.05411428849507
480,BACARDI USA INC            ,3348,4730366,146670700.34,1283470.6199999999,6502.147175511183
480,BACARDI USA INC            ,3415,1,18.99,187.07,0.9477090111520254
480,BACARDI USA INC            ,3436,513621,13318814.79,243330.49999999997,1232.7284307378409
480,BACARDI USA INC            ,3437,37665,700939.35,63733.2,322.8766127628923
480,BACARDI USA INC            ,3460,3247,181724.53,25116.48,127.24175134665967
480,BACARDI USA INC            ,3461,14,699.86,519.87,2.633695855175087
