VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost,AvgSalesPrice,TargetMargin,RequiredSalesDollars,UpsideDollars,NeededPriceDeltaPerUnit
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90085,13,480.87,190.88,0.917979143579689,36.99,0.35,295.07381406704565,0.0,0.0
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90609,83,2074.17,5440.0,26.16202085642031,24.990000000000002,0.35,8409.4800320868,6335.3100320868,76.32903653116627
60,ADAMBA IMPORTS INTL INC    ,771,137,2053.63,446.16,2.1358888788300154,14.99,0.35,689.6859828905077,0.0,0.0
60,ADAMBA IMPORTS INTL INC    ,3979,79412,1351615.88,76257.49,365.0652788651854,17.02029768800685,0.35,117880.8542751772,0.0,0.0
105,ALTAMAR BRANDS LLC         ,2529,24,719.76,279.0,1.4869735695614292,29.99,0.35,431.51842087624834,0.0,0.0
105,ALTAMAR BRANDS LLC         ,8412,1346,67286.54000000001,11427.199999999999,60.90302643043857,49.99000000000001,0.35,17674.004656046825,0.0,0.0
200,AMERICAN SPIRITS EXCHANGE  ,19715,38,417.62,271.08,1.3923339639549932,10.99,0.35,419.18820609839224,1.5682060983922383,0.04126858153663785
200,AMERICAN SPIRITS EXCHANGE  ,20789,138,2482.62,934.08,4.797666036045006,17.99,0.35,1444.4271785169924,0.0,0.0
287,APPOLO VINEYARDS LLC       ,24921,33,490.17,1248.0,6.386398299787474,14.853636363636364,0.35,1929.8252281535192,1439.6552281535191,43.6259160046521
287,APPOLO VINEYARDS LLC       ,24922,40,588.1,1151.7,5.893601700212527,14.7025,0.35,1780.9132333849423,1192.8132333849421,29.820330834623554
388,ATLANTIC IMPORTING COMPANY ,2034,13214,380389.86,37885.64,195.1027089389323,28.786882094747995,0.35,58585.7580137522,0.0,0.0
388,ATLANTIC IMPORTING COMPANY ,2119,99,8509.01,2589.6000000000004,13.335870136237876,85.94959595959597,0.35,4004.5167232865206,0.0,0.0
388,ATLANTIC IMPORTING COMPANY ,7241,67,2104.33,641.08,3.301420924829849,31.407910447761193,0.35,991.3560321920459,0.0,0.0
480,BACARDI USA INC            ,126,4245559,127364867.41,1205942.92,6109.38671202751,29.99955186348841,0.35,1864695.856480042,0.0,0.0
480,BACARDI USA INC            ,128,4,129.96,97.68,0.49485335013273035,32.49,0.35,151.03823592328112,21.078235923281113,5.269558980820278
480,BACARDI USA INC            ,129,10,319.9,99.96,0.5064039811554845,31.99,0.35,154.5636984325469,0.0,0.0
480,BACARDI USA INC            ,201,46,896.54,525.98,2.664649519889573,19.49,0.35,813.2994607998302,0.0,0.0
480,BACARDI USA INC            ,278,690,19973.1,1756.8,8.900065167006353,28.946521739130432,0.35,2716.4616387184715,0.0,0.0
480,BACARDI USA INC            ,443,250956,8917994.44,189438.59999999998,959.7084956434709,35.536087760404214,0.35,292920.4746086822,0.0,0.0
480,BACARDI USA INC            ,508,1987979,27127924.71,380609.88999999996,1928.1949135969485,13.64598152696784,0.35,588520.130636303,0.0,0.0
480,BACARDI USA INC            ,540,2191,2169.09,253.44,1.2839438273714083,0.9900000000000001,0.35,391.88299050364833,0.0,0.0
480,BACARDI USA INC            ,565,521,10753.789999999999,2684.96,13.602185206514902,20.64067178502879,0.35,4151.634131086947,0.0,0.0
480,BACARDI USA INC            ,743,40975,2048340.25,121654.5,616.3097551568616,49.99,0.35,188108.9380848567,0.0,0.0
480,BACARDI USA INC            ,802,45712,527380.88,40341.51,204.37276180295908,11.537033601680085,0.35,62378.28117200455,0.0,0.0
480,BACARDI USA INC            ,803,4130,54151.2,12896.0,65.33199020589363,13.111670702179175,0.35,19940.51075416291,0.0,0.0
480,BACARDI USA INC            ,804,1151,16983.99,3433.32,17.393426536422048,14.75585577758471,0.35,5308.789886979111,0.0,0.0
480,BACARDI USA INC            ,805,18,593.82,263.9,1.336934880221412,32.99,0.35,408.05682289264826,0.0,0.0
480,BACARDI USA INC            ,810,13637,163809.63,16414.77,83.15831210235706,12.012145633203785,0.35,25381.428172465166,0.0,0.0
480,BACARDI USA INC            ,824,111316,3004418.84,140898.12,713.7992087367265,26.99,0.35,217864.49109036417,0.0,0.0
480,BACARDI USA INC            ,903,236430,6279362.7,179143.86,907.5546608999674,26.559077528232457,0.35,277002.1764013845,0.0,0.0
480,BACARDI USA INC            ,973,21,314.79,249.90000000000003,1.2660099528887112,14.99,0.35,386.40924608136726,71.61924608136724,3.410440289588916
480,BACARDI USA INC            ,974,64,963.86,725.1099999999999,3.6734552898724817,15.0603125,0.35,1121.2053158305728,157.34531583057276,2.4585205598526993
480,BACARDI USA INC            ,1020,2,49.98,36.22,0.18349291914217333,24.99,0.35,56.00537372175719,6.025373721757191,3.0126868608785955
480,BACARDI USA INC            ,1047,6,275.94,212.28000000000003,1.0754245410132677,45.99,0.35,328.239114678482,52.299114678482,8.716519113080333
480,BACARDI USA INC            ,1106,35,8709.65,8399.7,42.55343657974913,248.84714285714284,0.35,12988.082210122691,4278.432210122692,122.24092028921976
480,BACARDI USA INC            ,1330,19640,994571.6,91962.81000000001,465.8896868972129,50.64010183299389,0.35,142197.9995183034,0.0,0.0
480,BACARDI USA INC            ,1414,6,149.94,71.39999999999999,0.36171712939677453,24.99,0.35,110.40264173753349,0.0,0.0
480,BACARDI USA INC            ,1757,11,1759.89,1634.92,8.282613013912812,159.99,0.35,2528.0040200214044,768.1140200214043,69.82854727467311
480,BACARDI USA INC            ,2123,996,79670.04,17098.2,86.62061375142763,79.99,0.35,26438.18555961758,0.0,0.0
480,BACARDI USA INC            ,2184,1119,16797.81,3294.3999999999996,16.68964861463213,15.011447721179627,0.35,5093.984074791741,0.0,0.0
480,BACARDI USA INC            ,2200,1099,16541.01,2899.8199999999997,14.690680198422337,15.050964513193811,0.35,4483.862584920649,0.0,0.0
480,BACARDI USA INC            ,2258,62562,862436.38,52035.02,263.61285801825983,13.785307055401042,0.35,80459.43516618194,0.0,0.0
480,BACARDI USA INC            ,2329,3506,170869.94,29183.550000000003,147.845797361446,48.736434683399885,0.35,45125.224303633,0.0,0.0
