VendorNumber,VendorName,Brand,TotalSalesDollars,TotalSalesQuantity,TotalPurchaseDollars,TotalPurchaseQuantity,FreightCost,GrossProfit,CurrentMargin,TargetMargin,RequiredSalesDollars,UpsideDollars,NeededPriceDeltaPerUnit
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90085,480.87,13,190.88,8,0.917979143579689,289.0720208564203,60.11438036401112,0.35,295.07381406704565,0.0,0.0
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90609,2074.17,83,5440.0,320,26.16202085642031,-3391.9920208564204,-163.53490894461015,0.35,8409.4800320868,6335.3100320868,76.32903653116627
60,ADAMBA IMPORTS INTL INC    ,771,2053.63,137,446.16,39,2.1358888788300154,1605.33411112117,78.17056193769909,0.35,689.6859828905077,0.0,0.0
60,ADAMBA IMPORTS INTL INC    ,3979,1351615.88,79412,76257.49,4687,365.0652788651854,1274993.3247211347,94.33104061496635,0.35,117880.8542751772,0.0,0.0
105,ALTAMAR BRANDS LLC         ,2529,719.76,24,279.0,12,1.4869735695614292,439.27302643043856,61.030486055134844,0.35,431.51842087624834,0.0,0.0
105,ALTAMAR BRANDS LLC         ,8412,67286.54000000001,1346,11427.199999999999,320,60.90302643043857,55798.43697356957,82.92659568105235,0.35,17674.004656046825,0.0,0.0
200,AMERICAN SPIRITS EXCHANGE  ,19715,417.62,38,271.08,36,1.3923339639549932,145.14766603604502,34.7559183075631,0.35,419.18820609839224,1.5682060983922383,0.04126858153663785
200,AMERICAN SPIRITS EXCHANGE  ,20789,2482.62,138,934.08,96,4.797666036045006,1543.742333963955,62.18198250090449,0.35,1444.4271785169924,0.0,0.0
287,APPOLO VINEYARDS LLC       ,24921,490.17,33,1248.0,120,6.386398299787474,-764.2163982997874,-155.9084395821424,0.35,1929.8252281535192,1439.6552281535191,43.6259160046521
287,APPOLO VINEYARDS LLC       ,24922,588.1,40,1151.7,110,5.893601700212527,-569.4936017002126,-96.83618461149678,0.35,1780.9132333849423,1192.8132333849421,29.820330834623554
388,ATLANTIC IMPORTING COMPANY ,2034,380389.86,13214,37885.64,1777,195.1027089389323,342309.11729106103,89.98902265456316,0.35,58585.7580137522,0.0,0.0
388,ATLANTIC IMPORTING COMPANY ,2119,8509.01,99,2589.6000000000004,39,13.335870136237876,5906.074129863762,69.40965082734374,0.35,4004.5167232865206,0.0,0.0
388,ATLANTIC IMPORTING COMPANY ,7241,2104.33,67,641.08,31,3.301420924829849,1459.94857907517,69.37830944173062,0.35,991.3560321920459,0.0,0.0
480,BACARDI USA INC            ,126,127364867.41,4245559,1205942.92,59878,6109.38671202751,126152815.10328797,99.04836213364058,0.35,1864695.856480042,0.0,0.0
480,BACARDI USA INC            ,128,129.96,4,97.68,4,0.49485335013273035,31.785146649867272,24.45763823473936,0.35,151.03823592328112,21.078235923281113,5.269558980820278
480,BACARDI USA INC            ,129,319.9,10,99.96,4,0.5064039811554845,219.43359601884453,68.59443451667538,0.35,154.5636984325469,0.0,0.0
480,BACARDI USA INC            ,201,896.54,46,525.98,34,2.664649519889573,367.8953504801104,41.03501801147861,0.35,813.2994607998302,0.0,0.0
480,BACARDI USA INC            ,278,19973.1,690,1756.8,80,8.900065167006353,18207.399934832993,91.15960934873902,0.35,2716.4616387184715,0.0,0.0
480,BACARDI USA INC            ,443,8917994.44,250956,189438.59999999998,7748,959.7084956434709,8727596.131504357,97.86500978693543,0.35,292920.4746086822,0.0,0.0
480,BACARDI USA INC            ,508,27127924.71,1987979,380609.88999999996,38957,1928.1949135969485,26745386.625086404,98.5898733906004,0.35,588520.130636303,0.0,0.0
480,BACARDI USA INC            ,540,2169.09,2191,253.44,352,1.2839438273714083,1914.3660561726288,88.25664477604104,0.35,391.88299050364833,0.0,0.0
480,BACARDI USA INC            ,565,10753.789999999999,521,2684.96,173,13.602185206514902,8055.227814793484,74.90594306559348,0.35,4151.634131086947,0.0,0.0
480,BACARDI USA INC            ,743,2048340.25,40975,121654.5,3333,616.3097551568616,1926069.4402448433,94.03073733696554,0.35,188108.9380848567,0.0,0.0
480,BACARDI USA INC            ,802,527380.88,45712,40341.51,5049,204.37276180295908,486834.997238197,92.31184058819065,0.35,62378.28117200455,0.0,0.0
480,BACARDI USA INC            ,803,54151.2,4130,12896.0,1300,65.33199020589363,41189.8680097941,76.06455260417887,0.35,19940.51075416291,0.0,0.0
480,BACARDI USA INC            ,804,16983.99,1151,3433.32,297,17.393426536422048,13533.27657346358,79.6825514703175,0.35,5308.789886979111,0.0,0.0
480,BACARDI USA INC            ,805,593.82,18,263.9,10,1.336934880221412,328.58306511977867,55.33378214269958,0.35,408.05682289264826,0.0,0.0
480,BACARDI USA INC            ,810,163809.63,13637,16414.77,2283,83.15831210235706,147311.70168789767,89.92859680343436,0.35,25381.428172465166,0.0,0.0
480,BACARDI USA INC            ,824,3004418.84,111316,140898.12,6787,713.7992087367265,2862806.920791263,95.28654536034207,0.35,217864.49109036417,0.0,0.0
480,BACARDI USA INC            ,903,6279362.7,236430,179143.86,9534,907.5546608999674,6099311.2853391,97.13264827558217,0.35,277002.1764013845,0.0,0.0
480,BACARDI USA INC            ,973,314.79,21,249.90000000000003,21,1.2660099528887112,63.62399004711128,20.211566456085414,0.35,386.40924608136726,71.61924608136724,3.410440289588916
480,BACARDI USA INC            ,974,963.86,64,725.1099999999999,59,3.6734552898724817,235.07654471012762,24.38907566556633,0.35,1121.2053158305728,157.34531583057276,2.4585205598526993
480,BACARDI USA INC            ,1020,49.98,2,36.22,2,0.18349291914217333,13.576507080857825,27.163879713601094,0.35,56.00537372175719,6.025373721757191,3.0126868608785955
480,BACARDI USA INC            ,1047,275.94,6,212.28000000000003,6,1.0754245410132677,62.5845754589867,22.680501362247846,0.35,328.239114678482,52.299114678482,8.716519113080333
480,BACARDI USA INC            ,1106,8709.65,35,8399.7,54,42.55343657974913,267.3965634202498,3.070118356308804,0.35,12988.082210122691,4278.432210122692,122.24092028921976
480,BACARDI USA INC            ,1330,994571.6,19640,91962.81000000001,2403,465.8896868972129,902142.9003131028,90.7066821848827,0.35,142197.9995183034,0.0,0.0
480,BACARDI USA INC            ,1414,149.94,6,71.39999999999999,5,0.36171712939677453,78.17828287060323,52.13971113152142,0.35,110.40264173753349,0.0,0.0
480,BACARDI USA INC            ,1757,1759.89,11,1634.92,14,8.282613013912812,116.68738698608722,6.63037956838707,0.35,2528.0040200214044,768.1140200214043,69.82854727467311
