VendorNumber,neg_SalesQty,neg_SalesDol,neg_PurchQty,neg_PurchDol,neg_Freight
2,0,0,0,0,0
60,0,0,0,0,0
105,0,0,0,0,0
200,0,0,0,0,0
287,0,0,0,0,0
388,0,0,0,0,0
480,0,0,0,0,0
516,0,0,0,0,0
653,0,0,0,0,0
660,0,0,0,0,0
1003,0,0,0,0,0
1128,0,0,0,0,0
1189,0,0,0,0,0
1265,0,0,0,0,0
1273,0,0,0,0,0
1392,0,0,0,0,0
1439,0,0,0,0,0
1485,0,0,0,0,0
1587,0,0,0,0,0
1590,0,0,0,0,0
1601,0,0,0,0,0
1650,0,0,0,0,0
1655,0,0,0,0,0
1703,0,0,0,0,0
2000,0,0,0,0,0
2242,0,0,0,0,0
2396,0,0,0,0,0
2450,0,0,0,0,0
2496,0,0,0,0,0
2555,0,0,0,0,0
2561,0,0,0,0,0
2876,0,0,0,0,0
3089,0,0,0,0,0
3252,0,0,0,0,0
3551,0,0,0,0,0
3664,0,0,0,0,0
3924,0,0,0,0,0
3950,0,0,0,0,0
3951,0,0,0,0,0
3960,0,0,0,0,0
4380,0,0,0,0,0
4425,0,0,0,0,0
4466,0,0,0,0,0
4550,0,0,0,0,0
4692,0,0,0,0,0
4848,0,0,0,0,0
4950,0,0,0,0,0
5083,0,0,0,0,0
5270,0,0,0,0,0
5455,0,0,0,0,0
5612,0,0,0,0,0
5992,0,0,0,0,0
6213,0,0,0,0,0
6215,0,0,0,0,0
6280,0,0,0,0,0
6355,0,0,0,0,0
6359,0,0,0,0,0
6785,0,0,0,0,0
6830,0,0,0,0,0
7153,0,0,0,0,0
7154,0,0,0,0,0
7239,0,0,0,0,0
7240,0,0,0,0,0
7245,0,0,0,0,0
7255,0,0,0,0,0
7749,0,0,0,0,0
8004,0,0,0,0,0
8112,0,0,0,0,0
8150,0,0,0,0,0
8320,0,0,0,0,0
8352,0,0,0,0,0
8663,0,0,0,0,0
8664,0,0,0,0,0
8673,0,0,0,0,0
8735,0,0,0,0,0
8892,0,0,0,0,0
8920,0,0,0,0,0
9099,0,0,0,0,0
9165,0,0,0,0,0
9206,0,0,0,0,0
9260,0,0,0,0,0
9552,0,0,0,0,0
9622,0,0,0,0,0
9625,0,0,0,0,0
9744,0,0,0,0,0
9751,0,0,0,0,0
9815,0,0,0,0,0
9819,0,0,0,0,0
10000,0,0,0,0,0
10050,0,0,0,0,0
10754,0,0,0,0,0
11567,0,0,0,0,0
12331,0,0,0,0,0
12546,0,0,0,0,0
17031,0,0,0,0,0
17032,0,0,0,0,0
17033,0,0,0,0,0
17035,0,0,0,0,0
17037,0,0,0,0,0
28750,0,0,0,0,0
28776,0,0,0,0,0
90010,0,0,0,0,0
90011,0,0,0,0,0
90017,0,0,0,0,0
90024,0,0,0,0,0
90026,0,0,0,0,0
90027,0,0,0,0,0
90032,0,0,0,0,0
90033,0,0,0,0,0
90037,0,0,0,0,0
90046,0,0,0,0,0
90047,0,0,0,0,0
90051,0,0,0,0,0
90052,0,0,0,0,0
90053,0,0,0,0,0
90056,0,0,0,0,0
90057,0,0,0,0,0
90058,0,0,0,0,0
90059,0,0,0,0,0
98450,0,0,0,0,0
99166,0,0,0,0,0
172662,0,0,0,0,0
173357,0,0,0,0,0
201359,0,0,0,0,0
