VendorNumber,VendorName,UnderperformingBrandCount,SalesAtRisk,GrossProfit_FromBadBrands,Freight_FromBadBrands,AvgMargin_BadBrands,MinMargin_BadBrands,LowMarginBrands,HighFreightBrands,LowTurnoverBrands,VendorTotalSales,SalesAtRiskPct
3960,DIAGEO NORTH AMERICA INC,282,1234320754.7,-13208825000.74,72483043.74,-40788.309275566324,-471024.40238833096,281,204,275,3459189868.95,0.3568236498896387
12546,JIM BEAM BRANDS COMPANY,265,626278364.88,-5820385120.42,32828457.05,-26359.871047178764,-237635.59774880996,263,187,259,1315992970.24,0.4758979561766082
4425,MARTIGNETTI COMPANIES,657,531848576.21999997,-17868500277.6,95218510.67999999,-54366.48075537773,-275743.57909127086,657,601,649,1467460165.43,0.36242794778974863
1392,CONSTELLATION BRANDS INC,286,364576047.06,-4112309763.48,22745291.14,-17464.76594139982,-156393.15470715731,286,207,281,944365987.27,0.38605376726233737
3252,E & J GALLO WINERY,304,360873490.39,-3394005309.61,18837940.64,-14903.335321174993,-123011.4519916594,304,208,298,576736515.09,0.6257163903237261
17035,PERNOD RICARD USA,169,294507797.77,-3803382533.0499997,20918857.18,-27097.26973797309,-215642.40835926175,168,129,169,1757276736.93,0.1675932945453494
9552,M S WALKER INC,351,251129558.53,-3606841002.59,19498688.82,-22317.585735359884,-109803.79985801278,351,285,342,441330293.88,0.5690285983365634
480,BACARDI USA INC,112,221469062.43,-1762461416.4499998,10000062.24,-20690.196768893027,-175190.14352807525,112,76,108,1228342942.74,0.18029904737839794
9165,ULTRA BEVERAGE COMPANY LLP,391,171185519.26,-5020773915.07,26609387.7,-26845.706060386066,-126366.64231685735,391,344,391,355793652.43,0.4811370806950514
1128,BROWN-FORMAN CORP,78,160940504.57999998,-899706206.6999999,5350931.039999999,-16063.874138803376,-133493.69621708183,77,46,73,960780518.73,0.16751016641421695
8004,SAZERAC CO INC,88,158224338.91,-718877282.53,4425838.5600000005,-10468.534123717009,-92206.0897364658,86,48,83,593040142.02,0.26680207240450843
7245,PROXIMO SPIRITS INC.,66,91398880.75,-411984748.13000005,2573655.48,-5117.062900712358,-63914.80451921069,66,29,64,408562586.99,0.22370839538530013
8112,MOET HENNESSY USA INC,76,81254824.49,-642367202.4699999,3674391.7600000002,-11648.005298323882,-90836.06491461142,76,50,72,378142023.09,0.21487911823717323
9815,WINE GROUP INC,86,79230322.77,-375343076.43,2330635.26,-6111.5913941911,-50384.595988538684,86,42,85,367338346.56,0.21568759023381387
3664,WILLIAM GRANT & SONS INC,56,68157318.91,-267337492.20999998,1693127.52,-9149.139291223879,-51253.6969049666,54,28,53,203469390.44,0.3349757856088852
10754,PERFECTA WINES,262,53502433.25,-1438383743.85,7524776.24,-15188.40621869004,-55854.51146364376,262,227,261,78744705.45,0.6794416582581807
11567,CAMPARI AMERICA,48,50973547.85,-148835357.11,1006310.8800000001,-4135.099068430425,-33259.18220153578,46,18,48,194459032.34,0.2621300087561672
7153,PINE STATE TRADING CO,145,42364164.79,-413654514.65999997,2303298.9,-7138.053749981826,-30656.85814094953,145,103,139,59779987.46,0.7086680106506666
9819,TREASURY WINE ESTATES,67,38977494.65,-161588544.33999997,994050.19,-3206.5875435932553,-25114.814674429414,67,31,61,111416467.6,0.34983602953500925
2000,SOUTHERN GLAZERS W&S OF NE,106,37804953.16,-360716247.65999997,2015758.54,-5802.855302676126,-37355.05921663485,106,67,102,105796329.6,0.3573370957474124
8673,STE MICHELLE WINE ESTATES,69,37328402.5,-176748955.10000002,1098459.3,-4447.704304596489,-30335.25995683736,68,36,67,113598065.86,0.3286006871455373
3924,HEAVEN HILL DISTILLERIES,38,31344512.18,-76223296.60000001,534655.06,-3431.561642572031,-22473.510892292383,38,13,35,152990433.25,0.2048789033022756
660,SAZERAC NORTH AMERICA INC.,35,28922232.1,-95534613.7,627631.55,-3885.837856200301,-26542.614878584216,35,13,35,251139167.24,0.11516416343118874
516,BANFI PRODUCTS CORP,82,27798178.53,-106466742.85,697853.62,-2319.6816616612978,-16202.967113824658,82,34,78,39143635.12,0.7101583295670165
8892,TRINCHERO FAMILY ESTATES,62,26929362.22,-113426689.14,718950.14,-3540.41502595481,-20717.78637698299,62,25,58,110305290.46,0.24413481989574556
6785,PALM BAY INTERNATIONAL INC,79,26847365.42,-187052224.04000002,1074827.39,-3860.07482402291,-25330.254754337322,79,36,78,130119309.01,0.2063288348536858
8352,LUXCO INC,45,20227086.72,-72549305.73,461772.0,-3360.1504259833187,-19838.971319259887,45,18,43,73648033.9,0.27464530482191185
6213,MHW LTD,37,19912856.78,-50311463.050000004,355998.46,-3936.867315790357,-17556.63981825692,34,15,35,51797277.88,0.3844382870106146
2242,DELICATO VINEYARDS INC,50,16813819.9,-61657544.099999994,399132.5,-1531.472452784449,-10884.571753329468,50,14,47,60488233.449999996,0.2779684401578436
10000,MAJESTIC FINE WINES,17,16809631.91,-43102723.83,298989.03,-1656.3921179234949,-6825.716712402421,17,6,15,335821269.12,0.050055292668176314
653,STATE WINE & SPIRITS,62,16734293.98,-78602921.26,496928.76,-3529.361123831872,-14424.59437887568,62,29,60,29112720.31,0.5748103853507601
4692,KOBRAND CORPORATION,43,16507786.629999999,-61635498.9,392993.33999999997,-3322.5965647295347,-17974.873212316033,42,17,41,39644019.68,0.4164004246604692
7239,REMY COINTREAU USA INC,27,13927416.03,-77114881.61999999,458424.08999999997,-3510.5180225791987,-19570.24854278767,27,10,25,135891202.41,0.10248946056109888
8664,"STOLI GROUP,(USA) LLC",28,11839130.77,-91341519.11000001,519245.72000000003,-6778.18761439504,-28047.287756656202,28,18,28,241371580.25,0.049049398266927904
1485,CASTLE BRANDS CORP.,14,10460477.2,-13169863.799999999,118966.26000000001,-2792.734632903916,-14352.846845581726,14,4,9,70665321.6,0.14802843832242604
1590,DIAGEO CHATEAU ESTATE WINES,36,10154246.9,-39264125.980000004,261351.0,-2102.756737160788,-13559.80538199679,36,14,35,39689422.75,0.2558426451289217
1587,VINEYARD BRANDS INC,37,8857935.68,-36029887.49,224593.33000000002,-2033.3965033060297,-11938.569265332208,37,12,36,36171034.42,0.24489030579402488
2561,EDRINGTON AMERICAS,17,8772045.31,-23400239.470000003,164126.5,-1133.3308108959793,-6398.973172540049,17,3,15,51076521.339999996,0.17174320176597996
9744,FREDERICK WILDMAN & SONS,37,6687102.52,-21560516.77,147997.41,-1365.568301227956,-6060.0473955828675,37,11,36,9623636.34,0.6948623455570018
90024,VINILANDIA USA,46,5121067.76,-20255200.7,128921.43999999999,-1441.2074902118386,-5119.644938725769,46,19,44,6049910.88,0.8464699499837921
3089,SIDNEY FRANK IMPORTING CO,8,3769311.07,-10026356.37,68396.4,-2174.3129922653425,-11520.786175749337,8,2,6,69277488.51,0.05440888737552763
9625,WESTERN SPIRITS BEVERAGE CO,9,2190396.0500000003,-1078245.55,17398.71,-718.4088470744651,-3118.6834485894096,7,2,7,4661137.09,0.4699274034868604
6359,OLE SMOKY DISTILLERY LLC,7,1832784.5099999998,-894028.3200000001,13454.0,-1112.1815869061113,-3403.9442059776993,5,2,6,6072088.03,0.3018376052759564
5992,MCCORMICK DISTILLING CO,14,1636832.07,-2732858.01,21949.899999999998,-691.2851333580699,-2375.659246262962,14,3,9,3995663.1,0.4096521726268664
