VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,ProfitMargin
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90085,13,480.87,8,190.88,0.917979143579689,289.0720208564203,60.11438036401112
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",90609,83,2074.17,320,5440.0,26.16202085642031,-3391.9920208564204,-163.53490894461015
60,ADAMBA IMPORTS INTL INC    ,771,137,2053.63,39,446.16,2.1358888788300154,1605.33411112117,78.17056193769909
60,ADAMBA IMPORTS INTL INC    ,3979,79412,1351615.88,4687,76257.49,365.0652788651854,1274993.3247211347,94.33104061496635
105,ALTAMAR BRANDS LLC         ,2529,24,719.76,12,279.0,1.4869735695614292,439.27302643043856,61.030486055134844
105,ALTAMAR BRANDS LLC         ,8412,1346,67286.54000000001,320,11427.199999999999,60.90302643043857,55798.43697356957,82.92659568105235
200,AMERICAN SPIRITS EXCHANGE  ,19715,38,417.62,36,271.08,1.3923339639549932,145.14766603604502,34.7559183075631
200,AMERICAN SPIRITS EXCHANGE  ,20789,138,2482.62,96,934.08,4.797666036045006,1543.742333963955,62.18198250090449
287,APPOLO VINEYARDS LLC       ,24921,33,490.17,120,1248.0,6.386398299787474,-764.2163982997874,-155.9084395821424
287,APPOLO VINEYARDS LLC       ,24922,40,588.1,110,1151.7,5.893601700212527,-569.4936017002126,-96.83618461149678
388,ATLANTIC IMPORTING COMPANY ,2034,13214,380389.86,1777,37885.64,195.1027089389323,342309.11729106103,89.98902265456316
388,ATLANTIC IMPORTING COMPANY ,2119,99,8509.01,39,2589.6000000000004,13.335870136237876,5906.074129863762,69.40965082734374
388,ATLANTIC IMPORTING COMPANY ,7241,67,2104.33,31,641.08,3.301420924829849,1459.94857907517,69.37830944173062
480,BACARDI USA INC            ,126,4245559,127364867.41,59878,1205942.92,6109.38671202751,126152815.10328797,99.04836213364058
480,BACARDI USA INC            ,128,4,129.96,4,97.68,0.49485335013273035,31.785146649867272,24.45763823473936
480,BACARDI USA INC            ,129,10,319.9,4,99.96,0.5064039811554845,219.43359601884453,68.59443451667538
480,BACARDI USA INC            ,201,46,896.54,34,525.98,2.664649519889573,367.8953504801104,41.03501801147861
480,BACARDI USA INC            ,278,690,19973.1,80,1756.8,8.900065167006353,18207.399934832993,91.15960934873902
480,BACARDI USA INC            ,443,250956,8917994.44,7748,189438.59999999998,959.7084956434709,8727596.131504357,97.86500978693543
480,BACARDI USA INC            ,508,1987979,27127924.71,38957,380609.88999999996,1928.1949135969485,26745386.625086404,98.5898733906004
480,BACARDI USA INC            ,540,2191,2169.09,352,253.44,1.2839438273714083,1914.3660561726288,88.25664477604104
480,BACARDI USA INC            ,565,521,10753.789999999999,173,2684.96,13.602185206514902,8055.227814793484,74.90594306559348
480,BACARDI USA INC            ,743,40975,2048340.25,3333,121654.5,616.3097551568616,1926069.4402448433,94.03073733696554
480,BACARDI USA INC            ,802,45712,527380.88,5049,40341.51,204.37276180295908,486834.997238197,92.31184058819065
480,BACARDI USA INC            ,803,4130,54151.2,1300,12896.0,65.33199020589363,41189.8680097941,76.06455260417887
480,BACARDI USA INC            ,804,1151,16983.99,297,3433.32,17.393426536422048,13533.27657346358,79.6825514703175
480,BACARDI USA INC            ,805,18,593.82,10,263.9,1.336934880221412,328.58306511977867,55.33378214269958
480,BACARDI USA INC            ,810,13637,163809.63,2283,16414.77,83.15831210235706,147311.70168789767,89.92859680343436
480,BACARDI USA INC            ,824,111316,3004418.84,6787,140898.12,713.7992087367265,2862806.920791263,95.28654536034207
480,BACARDI USA INC            ,903,236430,6279362.7,9534,179143.86,907.5546608999674,6099311.2853391,97.13264827558217
480,BACARDI USA INC            ,973,21,314.79,21,249.90000000000003,1.2660099528887112,63.62399004711128,20.211566456085414
480,BACARDI USA INC            ,974,64,963.86,59,725.1099999999999,3.6734552898724817,235.07654471012762,24.38907566556633
480,BACARDI USA INC            ,1020,2,49.98,2,36.22,0.18349291914217333,13.576507080857825,27.163879713601094
480,BACARDI USA INC            ,1047,6,275.94,6,212.28000000000003,1.0754245410132677,62.5845754589867,22.680501362247846
480,BACARDI USA INC            ,1106,35,8709.65,54,8399.7,42.55343657974913,267.3965634202498,3.070118356308804
480,BACARDI USA INC            ,1330,19640,994571.6,2403,91962.81000000001,465.8896868972129,902142.9003131028,90.7066821848827
480,BACARDI USA INC            ,1414,6,149.94,5,71.39999999999999,0.36171712939677453,78.17828287060323,52.13971113152142
480,BACARDI USA INC            ,1757,11,1759.89,14,1634.92,8.282613013912812,116.68738698608722,6.63037956838707
480,BACARDI USA INC            ,2123,996,79670.04,295,17098.2,86.62061375142763,62485.219386248566,78.43000880412333
480,BACARDI USA INC            ,2184,1119,16797.81,290,3294.3999999999996,16.68964861463213,13486.72035138537,80.28856351741905
480,BACARDI USA INC            ,2200,1099,16541.01,269,2899.8199999999997,14.690680198422337,13626.499319801576,82.3800923873547
480,BACARDI USA INC            ,2258,62562,862436.38,5326,52035.02,263.61285801825983,810137.7471419817,93.93594309437431
480,BACARDI USA INC            ,2329,3506,170869.94,759,29183.550000000003,147.845797361446,141538.54420263856,82.83408082348397
480,BACARDI USA INC            ,2502,8,279.92,3,80.76,0.4091355093849232,198.7508644906151,71.00273810039121
480,BACARDI USA INC            ,2611,1195,55256.05,472,18875.28,95.62341874174162,36285.14658125826,65.66728273421329
480,BACARDI USA INC            ,2614,827,46309.73,320,13187.199999999999,66.80722869441381,33055.72277130559,71.37964909600119
480,BACARDI USA INC            ,2622,13315,345401.85,1633,30455.449999999997,154.28932700962181,314792.1106729903,91.13793416942913
480,BACARDI USA INC            ,2624,4565,303309.35,748,34976.48,177.19316445383333,268155.67683554615,88.40996060146058
480,BACARDI USA INC            ,2628,20765,661013.35,3780,88565.4,448.6781827993991,571999.2718172006,86.53369433721733
480,BACARDI USA INC            ,2663,5622620,175626453.8,69001,1478001.4200000002,7487.653093652054,174140964.72690636,99.15417692440269
480,BACARDI USA INC            ,2665,569594,11949964.059999999,18574,285668.12,1447.2136180192344,11662848.72638198,97.59735399892057
480,BACARDI USA INC            ,2668,35042,471599.58,5788,61815.84,313.1631400007047,409470.5768599993,86.82589939117403
480,BACARDI USA INC            ,2672,167517,383613.93,23159,41686.200000000004,211.1850504126026,341716.5449495874,89.07824201003008
480,BACARDI USA INC            ,2679,1030,20501.7,226,3227.2799999999997,16.34961424873421,17258.070385751267,84.17872852373836
480,BACARDI USA INC            ,2742,7598,371698.02,1029,39081.42,197.98906239705457,332418.610937603,89.43244059723617
480,BACARDI USA INC            ,2863,607,28478.93,183,6284.22,31.83627477447898,22162.87372522552,77.82200288151809
480,BACARDI USA INC            ,2916,340,22486.6,112,5269.599999999999,26.696142648028616,17190.30385735197,76.44687884051822
480,BACARDI USA INC            ,2933,861,43615.39,195,7581.600000000001,38.40888779040037,35995.3811122096,82.529082308354
480,BACARDI USA INC            ,3016,40193,839357.07,4876,71140.84,360.40420767052154,767855.8257923295,91.48142706325564
480,BACARDI USA INC            ,3139,18752,459326.98,2211,39002.04,197.58691805907816,420127.3530819409,91.46585577924053
480,BACARDI USA INC            ,3185,142,6672.58,33,1165.8899999999999,5.906475966280189,5500.78352403372,82.43862979587685
480,BACARDI USA INC            ,3194,48008,1175932.92,3497,64030.06999999999,324.38057584698225,1111578.469424153,94.52737061091487
480,BACARDI USA INC            ,3199,276,12969.24,69,2366.7,11.989858965593086,10590.550141034408,81.6589880442833
480,BACARDI USA INC            ,3343,110052,1429575.48,7472,70685.12000000001,358.09549996451744,1358532.2645000354,95.03046768121928
480,BACARDI USA INC            ,3344,786314,16503442.86,23798,344833.02,1746.9469203868427,16156862.893079612,97.89995354387293
480,BACARDI USA INC            ,3345,158180,314778.2,20387,31395.98,159.05411428849507,283223.16588571155,89.97547031074944
480,BACARDI USA INC            ,3348,4730366,146670700.34,57349,1283470.6199999999,6502.147175511183,145380727.57282448,99.12049730165246
480,BACARDI USA INC            ,3415,1,18.99,13,187.07,0.9477090111520254,-169.027709011152,-890.087988473681
480,BACARDI USA INC            ,3436,513621,13318814.79,12950,243330.49999999997,1232.7284307378409,13074251.56156926,98.16377633981095
480,BACARDI USA INC            ,3437,37665,700939.35,4605,63733.2,322.8766127628923,636883.2733872371,90.86139526725631
480,BACARDI USA INC            ,3460,3247,181724.53,612,25116.48,127.24175134665967,156480.80824865334,86.10879788691892
480,BACARDI USA INC            ,3461,14,699.86,13,519.87,2.633695855175087,177.35630414482492,25.34168321447503
480,BACARDI USA INC            ,3472,13695,242403.05,2636,29259.6,148.23107169884966,212995.21892830112,87.8682091369317
480,BACARDI USA INC            ,3475,13,389.87,7,156.66,0.7936499368529231,232.4163500631471,59.61380718268836
480,BACARDI USA INC            ,3611,49,734.51,30,165.0,0.8359009292782607,568.6740990707217,77.42224055094168
480,BACARDI USA INC            ,3613,3,269.96999999999997,2,135.32,0.6855400833329346,133.96445991666704,49.621980189156965
480,BACARDI USA INC            ,3615,221,3091.79,92,1013.84,5.136180594784678,2072.8138194052153,67.0425164518035
480,BACARDI USA INC            ,3778,57,2678.4300000000003,25,857.5,4.34415179912793,1816.5858482008723,67.82278604260227
480,BACARDI USA INC            ,3782,201250,4952523.5,7312,138123.68,699.7437119232309,4813700.076288077,97.19691539652618
480,BACARDI USA INC            ,3830,163355,4025295.4499999997,6120,112913.99999999999,572.0298032031849,3911809.420196797,97.18067825795984
480,BACARDI USA INC            ,3831,18869,75287.31,5774,16686.86,84.5367380650681,58515.913261934926,77.72347459609718
480,BACARDI USA INC            ,3847,149185,595248.15,22334,62758.54,317.9389206433145,532171.6710793567,89.40333054027244
480,BACARDI USA INC            ,3851,481722,7202895.78,20841,250508.82,1269.0942753357608,6951117.865724664,96.50449038879005
480,BACARDI USA INC            ,3857,2030296,104773240.04,33388,1277758.76,6473.210514408715,103489008.06948559,98.77427483389448
480,BACARDI USA INC            ,3858,9032539,215671801.10999998,138809,2466635.93,12496.141006534222,213192669.03899345,98.8505070861155
480,BACARDI USA INC            ,3961,97985,2412703.65,4484,81474.28000000001,412.7540991774377,2330816.6159008224,96.60600529620878
480,BACARDI USA INC            ,4025,7707,13795.53,3197,4379.89,22.1888128553731,9393.451187144627,68.09054227814825
480,BACARDI USA INC            ,4028,14,195.85999999999999,12,95.88,0.4857344309042402,99.49426556909575,50.798665153219524
480,BACARDI USA INC            ,4042,1545,1529.55,233,167.76,0.8498832720952787,1360.9401167279048,88.97650398665652
480,BACARDI USA INC            ,4050,61839,745400.61,6464,56366.08000000001,285.55429485922906,688748.9757051409,92.39984063135404
480,BACARDI USA INC            ,4058,30,479.7,22,260.48,1.319608933687281,217.9003910663127,45.424304996104375
480,BACARDI USA INC            ,4066,305870,6265655.3,9852,126598.2,641.3548668179096,6138415.745133182,97.96925383260681
480,BACARDI USA INC            ,4075,41633,900539.6699999999,3247,51529.89,261.05383597943364,848748.7261640205,94.24889923661226
480,BACARDI USA INC            ,4092,4503,48354.97,1546,17299.74,87.64162874104423,30967.588371258957,64.04220366853491
480,BACARDI USA INC            ,4102,35519,385286.81,3917,42812.81,216.89253129705216,342257.10746870295,88.83177378138197
480,BACARDI USA INC            ,4160,466,10105.34,81,1255.5,6.360446161871856,8843.479553838128,87.51293428858531
480,BACARDI USA INC            ,4179,174746,3768180.5399999996,6734,101952.76000000001,516.4994353120212,3665711.280564687,97.28067011791022
480,BACARDI USA INC            ,4192,271,5075.29,626,9408.779999999999,47.665502699240676,-4381.155502699239,-86.3232544879059
480,BACARDI USA INC            ,4196,171964,1963436.36,10880,81164.8,411.1862529980859,1881860.3737470019,95.84524418947818
480,BACARDI USA INC            ,4200,9118,105930.82,1578,12119.039999999999,61.395859381578255,93750.38414061844,88.50151838777273
480,BACARDI USA INC            ,4204,82284,912345.16,6438,49830.119999999995,252.4426885699833,862262.59731143,94.51056849048555
480,BACARDI USA INC            ,4214,302,4108.98,112,847.84,4.295213599268367,3256.844786400731,79.26163637692886
480,BACARDI USA INC            ,4216,908,19030.92,919,15549.480000000001,78.77469564723472,3402.665304352762,17.879667952746175
480,BACARDI USA INC            ,4221,70555,1273495.95,9143,118310.42,599.3684243715231,1154586.1615756284,90.66272739820087
480,BACARDI USA INC            ,4222,469517,5162646.83,21056,168237.44,852.3020147599734,4993557.08798524,96.72474706129066
