VendorNumber,VendorName,TotalSalesDol_in_summary,TotalSalesQty,TotalPurchaseDol,TotalPurchaseQty,FreightCost,GrossProfit,ProfitMargin,BrandCount
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",2555.04,96,5630.88,328,27.08,-3102.92,-121.44310852276286,2
60,ADAMBA IMPORTS INTL INC    ,1353669.5099999998,79549,76703.65000000001,4726,367.20116774401544,1276598.658832256,94.30652381556972,2
105,ALTAMAR BRANDS LLC         ,68006.3,1370,11706.199999999999,332,62.39,56237.710000000014,82.69485327094696,2
200,AMERICAN SPIRITS EXCHANGE  ,2900.24,176,1205.16,132,6.189999999999999,1688.8899999999999,58.23276694342537,2
287,APPOLO VINEYARDS LLC       ,1078.27,73,2399.7,230,12.280000000000001,-1333.71,-123.68979940089214,2
388,ATLANTIC IMPORTING COMPANY ,391003.2,13380,41116.32,1847,211.74,349675.13999999996,89.43025018721075,3
480,BACARDI USA INC            ,1228342942.74,54791446,17624329.02,1427005,89286.01821650798,1210629327.7017834,98.55792593241887,164
516,BANFI PRODUCTS CORP        ,39143635.12,3452866,1628787.84,228091,8509.998081251439,37506337.28191875,95.81720544588691,130
653,STATE WINE & SPIRITS   ,29112720.31,2145209,1516654.71,153035,7946.721507925791,27588118.878492072,94.76310899402885,212
660,SAZERAC NORTH AMERICA INC. ,251139167.24,24470876,3537977.55,503931,17932.33,247583257.35999998,98.58408789075827,78
1003,BRONCO WINE COMPANY        ,11949.32,1568,2071.9,433,10.53,9866.89,82.57281585897775,6
1128,BROWN-FORMAN CORP          ,960780518.73,38048527,13529433.08,1006122,68601.68,947182483.9699999,98.58468875097775,127
1189,BULLY BOY DISTILLERS       ,1294178.0,46600,117928.22,5382,609.39,1175640.39,90.84070274722643,6
1265,BLACK ROCK SPIRITS LLC     ,4848.0599999999995,194,1152.1000000000001,82,5.79,3690.169999999999,76.11642595182403,1
1273,CALEDONIA SPIRITS INC      ,8272654.630000001,226837,259604.7,8202,1319.77,8011730.16,96.84594024929093,5
1392,CONSTELLATION BRANDS INC   ,944365987.27,85085764,15569709.29,2325809,79507.49852272672,928716770.4814773,98.34288644450633,453
1439,CAPSTONE INTERNATIONAL     ,75.96,4,54.64,4,0.27,21.049999999999994,27.711953659820956,1
1485,CASTLE BRANDS CORP.        ,70665321.6,3205940,1679383.91,105220,8497.59,68977440.1,97.61144297969203,26
1587,VINEYARD BRANDS LLC        ,36171034.42,3415842,1207103.66,172289,6070.036395168769,34957860.723604836,96.64600773561409,73
1590,DIAGEO CHATEAU ESTATE WINES,39689422.75,3794841,1357564.22,187810,7217.702637221276,38324640.827362776,96.56134600083793,96
1601,VRANKEN AMERICA            ,2753261.57,102443,208168.87,13092,1048.157933759948,2544044.5420662398,92.40112053960205,16
1650,Circa Wines                ,112765.71,6629,41111.67,3267,204.78382909710265,71449.2561709029,63.36080016780181,63
1655,FABRIZIA SPIRITS LLC       ,5319116.45,350855,358390.62,28071,1824.89,4958900.9399999995,93.22790705211953,8
1703,ALISA CARR BEVERAGES           ,50049.51,449,34951.68,438,172.0,14925.83,29.822130126748498,13
2000,SOUTHERN WINE & SPIRITS NE ,105796329.6,7954155,3706682.58,406721,18844.07190665467,102070802.94809334,96.478586104081,309
2242,DELICATO VINEYARDS INC     ,60488233.449999996,4188537,1552400.71,191598,7936.414324010643,58927896.32567599,97.42042867624197,88
2396,BLACK PRINCE DISTILLERY INC,69998.53,9947,5971.9400000000005,807,30.979999999999997,63995.60999999999,91.42421990861807,4
2450,DJINN SPIRITS LLC          ,221957.15,8585,48830.78,2637,251.28000000000003,172875.08999999997,77.88669569779573,6
2496,DUGGANS DISTILLED PRODUCTS ,2718987.14,141886,184296.5,18814,939.2699999999999,2533751.37,93.18732452702957,5
2555,DISARONNO INTERNATIONAL LLC,75849359.77,3049903,1141947.8499999999,103095,5861.03,74701550.89,98.4867256843294,11
2561,EDRINGTON AMERICAS         ,51076521.339999996,1409466,1881721.74,62541,9648.802672695043,49185150.7973273,96.29698637837441,29
2876,CENTEUR IMPORTS LLC        ,20369.67,1733,6237.08,771,31.5,14101.09,69.22591284002145,10
3089,SIDNEY FRANK IMPORTING CO  ,69277488.51,4099199,1715908.8800000001,186464,8549.549999999997,67553030.08,97.51079540109039,13
3252,E & J GALLO WINERY         ,576736515.09,55516774,12285547.23,1857210,61946.43424973199,564389021.4257503,97.85907544586058,499
3551,GILMANTON WINERY & VINEYARD,7339.41,459,5393.04,516,26.63,1919.7399999999998,26.156598418673976,2
3664,WILLIAM GRANT & SONS INC   ,203469390.44,7397346,5958031.18,302684,30220.658107777366,197481138.60189223,97.05692742030716,80
3924,HEAVEN HILL DISTILLERIES   ,152990433.25,11853845,2816661.94,352348,14069.87,150159701.44,98.14973279709959,62
3950,"HOOD RIVER DISTILLERS, Inc.",67589.66,2984,24035.959999999995,1137,117.52000000000001,43436.17999999999,64.2645339538622,6
3951,HIGHLAND WINE MERCHANTS LLC,1845.44,106,2572.2,180,13.762807618465835,-740.5228076184658,-40.127167917595024,6
3960,DIAGEO NORTH AMERICA INC   ,3459189868.95,213576050,50959787.410000004,5459787,257032.0223863341,3407973049.5176134,98.51939843221348,395
